============== 300000 Revalues ==============



(-60399564.9934917167, 336190.6125488281)



(-59921417.9219148681, 335900.9953613281)



(-56005183.9146078900, 326092.9799804688)



(-55701585.6888935715, 323947.8276367188)



(-55230649.1060175076, 320273.5773925781)



(-55167245.3358857781, 317116.9130859375)



(-55002492.5035106540, 314925.4704589844)



(-56710827.6116524860, 327861.7458496094)



(-61261159.6926260144, 336881.5153808594)



(-55595589.5091528669, 321099.4953613281)



(-55562334.0253563598, 320697.0651855469)



(-56647494.6080329195, 327027.7370605469)



(-59514883.4601848871, 335130.9736328125)



(-59498961.3218330592, 335066.0625000000)



(-57730612.7816611603, 334953.1562500000)



(-57680253.2624332160, 332208.4257812500)



(-57063842.7823382467, 330826.4875488281)



(-57062644.4061851501, 330457.3112792969)



(-62234885.1093623936, 338778.8715820312)



(-61636505.2275476232, 338688.3168945312)



(-60751147.1411475912, 336300.7392578125)



(-55813968.4719439894, 325020.1320800781)



(-56361554.4935456738, 326578.9816894531)



(-55666324.9865691811, 321914.3232421875)



(-60796096.0278590173, 336833.8513183594)



(-63730369.0923258960, 340263.2053222656)



(-63083659.7064815015, 338870.0759277344)



(-56697822.9529067576, 327080.7202148438)



(-65042690.0384108424, 341831.6594238281)



(-63721516.9904043078, 339466.2687988281)



(-71822428.3735372722, 341951.6398925781)
============== 400000 Revalues ==============



(-54766102.1227670088, 314355.3742675781)



(-55682310.1658264175, 323247.1860351562)



(-55143186.2516552731, 315510.5756835938)



(-63185054.6078485921, 339246.0161132812)



(-55448884.7688163146, 321652.9306640625)



(-55438439.2384366095, 320402.2839355469)



(-56595829.1607765257, 329366.2377929688)



(-55642679.3394921497, 323046.4106445312)



(-55593974.3744077533, 322097.8466796875)



(-55493815.5005768538, 321979.8918457031)



(-59742698.5530659854, 335344.8203125000)



(-60399564.9934917167, 336190.6125488281)



(-59921417.9219148681, 335900.9953613281)



(-56005183.9146078900, 326092.9799804688)



(-55701585.6888935715, 323947.8276367188)



(-55230649.1060175076, 320273.5773925781)



(-55167245.3358857781, 317116.9130859375)



(-55002492.5035106540, 314925.4704589844)



(-61261159.6926260144, 336881.5153808594)



(-59514883.4601848871, 335130.9736328125)



(-59498961.3218330592, 335066.0625000000)



(-57730612.7816611603, 334953.1562500000)



(-57680253.2624332160, 332208.4257812500)



(-57063842.7823382467, 330826.4875488281)



(-57062644.4061851501, 330457.3112792969)



(-62234885.1093623936, 338778.8715820312)



(-61636505.2275476232, 338688.3168945312)



(-60751147.1411475912, 336300.7392578125)



(-55813968.4719439894, 325020.1320800781)



(-56361554.4935456738, 326578.9816894531)



(-60796096.0278590173, 336833.8513183594)



(-63730369.0923258960, 340263.2053222656)



(-63083659.7064815015, 338870.0759277344)



(-65042690.0384108424, 341831.6594238281)



(-63721516.9904043078, 339466.2687988281)



(-71822428.3735372722, 341951.6398925781)
