Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 320 | GridSize: 11
Generation 2 | Revalues: 522 | GridSize: 20
Generation 3 | Revalues: 714 | GridSize: 24
Generation 4 | Revalues: 900 | GridSize: 29
Generation 5 | Revalues: 1100 | GridSize: 29
Generation 6 | Revalues: 1298 | GridSize: 31
Generation 7 | Revalues: 1482 | GridSize: 32
Generation 8 | Revalues: 1692 | GridSize: 32
Generation 9 | Revalues: 1874 | GridSize: 31
Generation 10 | Revalues: 2058 | GridSize: 32
Generation 11 | Revalues: 2248 | GridSize: 33
Generation 12 | Revalues: 2464 | GridSize: 36
Generation 13 | Revalues: 2662 | GridSize: 37
Generation 14 | Revalues: 2856 | GridSize: 35
Generation 15 | Revalues: 3088 | GridSize: 37
Generation 16 | Revalues: 3272 | GridSize: 33
Generation 17 | Revalues: 3474 | GridSize: 34
Generation 18 | Revalues: 3682 | GridSize: 36
Generation 19 | Revalues: 3888 | GridSize: 36
Generation 20 | Revalues: 4082 | GridSize: 41
Generation 21 | Revalues: 4278 | GridSize: 39
Generation 22 | Revalues: 4466 | GridSize: 38
Generation 23 | Revalues: 4666 | GridSize: 40
Generation 24 | Revalues: 4846 | GridSize: 40
Generation 25 | Revalues: 5050 | GridSize: 37
Generation 26 | Revalues: 5258 | GridSize: 38
Generation 27 | Revalues: 5454 | GridSize: 35
Generation 28 | Revalues: 5674 | GridSize: 37
Generation 29 | Revalues: 5852 | GridSize: 39
Generation 30 | Revalues: 6068 | GridSize: 43
Generation 31 | Revalues: 6250 | GridSize: 45
Generation 32 | Revalues: 6450 | GridSize: 47
Generation 33 | Revalues: 6652 | GridSize: 49
Generation 34 | Revalues: 6832 | GridSize: 52
Generation 35 | Revalues: 7032 | GridSize: 52
Generation 36 | Revalues: 7232 | GridSize: 49
Generation 37 | Revalues: 7424 | GridSize: 53
Generation 38 | Revalues: 7646 | GridSize: 54
Generation 39 | Revalues: 7844 | GridSize: 52
Generation 40 | Revalues: 8020 | GridSize: 52
Generation 41 | Revalues: 8214 | GridSize: 55
Generation 42 | Revalues: 8414 | GridSize: 58
Generation 43 | Revalues: 8636 | GridSize: 61
Generation 44 | Revalues: 8864 | GridSize: 63
Generation 45 | Revalues: 9060 | GridSize: 59
Generation 46 | Revalues: 9248 | GridSize: 65
Generation 47 | Revalues: 9432 | GridSize: 60
Generation 48 | Revalues: 9618 | GridSize: 66
Generation 49 | Revalues: 9824 | GridSize: 63
Generation 50 | Revalues: 10044 | GridSize: 56
Generation 51 | Revalues: 10226 | GridSize: 56
Generation 52 | Revalues: 10446 | GridSize: 56
Generation 53 | Revalues: 10646 | GridSize: 61
Generation 54 | Revalues: 10834 | GridSize: 64
Generation 55 | Revalues: 11008 | GridSize: 64
Generation 56 | Revalues: 11204 | GridSize: 66
Generation 57 | Revalues: 11426 | GridSize: 69
Generation 58 | Revalues: 11630 | GridSize: 68
